countyear,statefip,serialno,avgincomes,ginicoefficient,ginirank,incrank,knownincscount,knownincsavg,unknownincscount,unknownincsavg,blackpercent,whitepercent,otherpercent,blackcount,othercount,whitecount,totalcount,allareas,totalpop,populationdensity,violentcrime,propertycrime,Racial diversity,State Name
1982,35,134,10550,65.12,1,40,1685,9768,611,12709,2,86,11,52,269,1975,2296,121593,1363823,11,735,5873.1,28.90789973,New Mexico
1982,36,135,10913,61,9,32,7777,10397,2238,12709,13,84,2,1343,248,8424,10015,54475,17589738,322,990,5478.1,28.34117539,New York
1982,37,136,10018,56.82,36,43,2096,9235,610,12709,20,76,3,552,84,2070,2706,53821,6019101,111,446,4096.9,26.21492365,North Carolina
1982,38,137,11095,59.81,14,25,1558,10627,452,12709,0,95,3,15,78,1917,2010,70704,668972,9,62,2586.3,31.68245221,North Dakota
1982,39,138,11432,58.82,20,17,4593,11036,1428,12709,10,88,0,635,50,5336,6021,44828,10757087,239,437,4498.8,29.52211977,Ohio
1982,40,139,11186,58.91,19,22,1771,10745,513,12709,5,89,5,120,126,2038,2284,69903,3206123,45,444,4778.5,29.76015233,Oklahoma
1982,41,140,11243,56.42,39,21,1641,10753,549,12709,2,95,2,45,50,2095,2190,98386,2664922,27,473,6094.5,31.68069865,Oregon
1982,42,141,10775,58,29,33,5061,10264,1340,12709,9,90,0,591,42,5768,6401,46058,11845146,257,360,3092.3,30.14962686,Pennsylvania
1982,44,142,10305,49.95,51,41,1184,9678,309,12709,3,95,0,59,11,1423,1493,1545,954170,617,402,4962.3,31.68245221,Rhode Island
1982,45,143,9833,58.18,27,47,1394,8749,526,12709,29,68,1,571,27,1322,1920,32007,3207614,100,720,4641.2,24.64413385,South Carolina
1982,46,144,9806,59.72,15,45,1858,8829,626,12709,0,92,7,4,186,2294,2484,77121,690597,8,99,2545.9,30.75530668,South Dakota
1982,47,145,9792,61.25,7,44,1811,8965,514,12709,20,79,0,481,2,1842,2325,42146,4646041,110,421,3992.5,27.16411031,Tennessee
1982,48,146,11277,60.92,10,23,6728,10744,2507,12709,9,89,1,848,155,8232,9235,268601,15331415,57,577,5725.1,29.81982935,Texas
1982,49,147,11328,59.96,13,24,1784,10649,879,12709,0,95,3,7,106,2550,2663,84904,1558314,18,286,5048.3,31.68245221,Utah
1982,50,148,10801,53.67,47,34,1162,10136,405,12709,0,99,0,3,7,1557,1567,9615,519109,53,127,4564.9,33,Vermont
1982,51,149,11850,58.66,21,11,2248,11612,623,12709,20,77,1,586,48,2237,2871,42769,5492783,128,309,3946.7,26.52043237,Virginia
1982,53,150,11925,57.3,34,10,1790,11693,532,12709,2,91,5,69,127,2126,2322,71303,4276552,59,406,5875.8,30.38640047,Washington
1982,54,151,9526,61.94,6,50,1505,8382,541,12709,2,97,0,48,2,1996,2046,24231,1949604,80,175,2336.4,32.34020546,West Virginia
1982,55,152,11393,56.32,40,18,1935,10985,600,12709,3,95,0,100,18,2417,2535,65503,4728870,72,191,4248.6,31.68245221,Wisconsin
1982,56,153,13004,52.83,48,2,1104,13107,383,12709,0,97,1,9,27,1451,1487,97818,506400,5,304,4499.8,32.3350515,Wyoming
1983,1,154,10388,63.97,4,46,1971,9444,626,13362,21,78,0,547,14,2036,2597,52423,3934102,75,416,3685,26.92582404,Alabama
1983,2,155,15033,57.12,38,1,1741,15664,656,13362,3,77,19,88,460,1849,2397,656425,488417,0,614,5404.8,26.45541322,Alaska
1983,4,156,11767,59.32,24,23,1704,11276,525,13362,2,95,2,53,53,2123,2229,114006,2968925,26,494,5897.4,31.68069865,Arizona
1983,5,157,9823,63.08,6,50,1649,8798,478,13362,14,84,0,317,20,1790,2127,53182,2305761,43,298,3202.9,28.38622514,Arkansas
1983,6,158,12650,59.83,21,11,11790,12424,3743,13362,7,85,6,1128,1075,13330,15533,163707,25360026,154,773,5904.9,28.49951267,California
1983,8,159,13013,55.87,40,7,2163,12897,727,13362,3,94,2,92,64,2734,2890,104100,3133630,30,476,6150.7,31.35637451,Colorado
1983,9,160,13789,55.79,41,2,1347,13904,359,13362,7,91,0,133,16,1557,1706,5544,3162354,570,375,4602.8,30.42294456,Connecticut
1983,10,161,12719,57.19,37,10,1193,12523,365,13362,18,80,1,281,16,1261,1558,1954,605458,309,453,5012.9,27.33536578,Delaware
1983,11,162,13311,59.85,20,4,1121,13301,231,13362,69,28,1,941,21,390,1352,68,632433,9300,1915,7358.4,24.82382368,District of Columbia
1983,12,163,11053,58.02,33,36,4440,10477,1108,13362,14,84,1,786,58,4704,5548,65758,10749851,163,827,5954.4,28.3881822,Florida
1983,13,164,11495,59.86,19,27,2336,10938,698,13362,23,75,0,717,19,2298,3034,59441,5728250,96,457,4048.5,26.14914488,Georgia
