countyear,statefip,serialno,avgincomes,ginicoefficient,ginirank,incrank,knownincscount,knownincsavg,unknownincscount,unknownincsavg,blackpercent,whitepercent,otherpercent,blackcount,othercount,whitecount,totalcount,allareas,totalpop,populationdensity,violentcrime,propertycrime
1981,54,100,8886,63.93,2,49,2002,7910,647,11909,2,97,0,66,7,2576,2649,24231,1954124,80,175,175
1981,55,101,10666,53.93,47,15,1955,10266,630,11909,3,95,0,97,16,2472,2585,65503,4726343,72,188,188
1981,56,102,11185,55.88,40,4,1647,10955,526,11909,0,97,2,14,46,2113,2173,97818,491712,5,430,430
1982,1,103,9702,64.45,2,48,1917,8724,624,12709,22,77,0,573,11,1957,2541,52423,3925266,74,448,448
1982,2,104,14499,56.64,37,1,1611,15179,611,12709,3,80,16,67,373,1782,2222,656425,449606,0,624,624
1982,4,105,10990,59.54,16,30,1796,10439,576,12709,1,94,3,42,78,2252,2372,114006,2889861,25,517,517
1982,5,106,9168,61.24,8,51,1579,8108,473,12709,13,84,1,284,25,1743,2052,53182,2294257,43,325,325
1982,6,107,11950,57.66,31,9,11796,11706,3806,12709,7,86,6,1099,1019,13484,15602,163707,24820009,151,815,815
1982,8,108,12387,56.63,38,6,2129,12276,741,12709,2,95,1,74,41,2755,2870,104100,3061564,29,504,504
1982,9,109,12783,52.47,50,3,1332,12804,358,12709,6,93,0,102,6,1582,1690,5544,3139013,566,400,400
1982,10,110,11565,57.12,35,15,1151,11242,325,12709,17,81,0,259,10,1207,1476,1954,599148,306,560,560
1982,11,111,12574,60.13,12,4,1120,12546,235,12709,69,28,1,942,24,389,1355,68,634174,9326,2123,2123
1982,12,112,10559,58.23,25,36,4374,10025,1087,12709,15,83,0,848,49,4564,5461,65758,10471407,159,897,897
1982,13,113,10947,58.65,22,31,2204,10421,659,12709,21,78,0,603,20,2240,2863,59441,5649792,95,478,478
1982,15,114,11505,55.46,41,16,1327,11103,444,12709,1,31,67,24,1196,551,1771,10932,993780,90,256,256
1982,16,115,10701,57.42,33,37,1314,9856,553,12709,0,97,2,2,38,1827,1867,83574,973721,11,259,259
1982,17,116,12021,57.63,32,8,4671,11810,1438,12709,13,84,2,828,129,5152,6109,57918,11423412,197,774,774
1982,18,117,10513,59.49,17,38,2385,9806,768,12709,6,92,0,216,7,2930,3153,36420,5467922,150,301,301
1982,19,118,11050,58.20,26,28,1925,10571,557,12709,1,97,1,44,30,2408,2482,56276,2888189,51,173,173
1982,20,119,11261,54.35,46,20,1444,10838,422,12709,6,92,1,113,28,1725,1866,82282,2401202,29,336,336
1982,21,120,10110,62.39,5,42,1703,9286,540,12709,7,92,0,169,1,2073,2243,40411,3683445,91,315,315
1982,22,121,10564,63.45,4,39,1818,9779,666,12709,31,68,0,780,7,1697,2484,51843,4352608,83,669,669
1982,23,122,9738,54.89,45,46,1524,8828,467,12709,0,99,0,7,10,1974,1991,35387,1136684,32,163,163
1982,24,123,12525,60.21,11,5,2095,12480,524,12709,19,78,2,519,53,2047,2619,12407,4282923,345,850,850
1982,25,124,11578,55.00,44,14,2814,11271,767,12709,3,96,0,108,32,3441,3581,10555,5771222,546,571,571
1982,26,125,11315,59.47,18,19,3961,10877,1245,12709,11,87,1,606,69,4531,5206,96810,9115198,94,657,657
1982,27,126,11080,55.43,42,26,2103,10592,631,12709,0,97,1,23,33,2678,2734,86943,4131450,47,219,219
1982,28,127,9515,63.91,3,49,1703,8456,565,12709,34,65,0,786,7,1475,2268,48434,2556777,52,295,295
1982,29,128,10982,58.26,24,29,2239,10504,620,12709,9,90,0,261,11,2587,2859,69709,4929451,70,507,507
1982,30,129,11139,58.49,23,27,1578,10592,551,12709,0,91,8,0,179,1950,2129,147046,803986,5,225,225
1982,31,130,10726,57.99,30,35,1644,10063,550,12709,2,96,0,58,13,2123,2194,77358,1581780,20,230,230
1982,32,131,12315,52.73,49,7,1337,12182,453,12709,5,89,4,92,88,1610,1790,110567,881537,7,805,805
1982,33,132,11693,55.14,43,13,1162,11407,328,12709,0,99,0,6,3,1481,1490,9351,947719,101,125,125
1982,34,133,11727,58.11,28,12,3539,11463,953,12709,10,87,2,466,115,3911,4492,8722,7430968,851,607,607
1982,35,134,10550,65.12,1,40,1685,9768,611,12709,2,86,11,52,269,1975,2296,121593,1363823,11,735,735
1982,36,135,10913,61.00,9,32,7777,10397,2238,12709,13,84,2,1343,248,8424,10015,54475,17589738,322,990,990
1982,37,136,10018,56.82,36,43,2096,9235,610,12709,20,76,3,552,84,2070,2706,53821,6019101,111,446,446
1982,38,137,11095,59.81,14,25,1558,10627,452,12709,0,95,3,15,78,1917,2010,70704,668972,9,62,62
1982,39,138,11432,58.82,20,17,4593,11036,1428,12709,10,88,0,635,50,5336,6021,44828,10757087,239,437,437
1982,40,139,11186,58.91,19,22,1771,10745,513,12709,5,89,5,120,126,2038,2284,69903,3206123,45,444,444
1982,41,140,11243,56.42,39,21,1641,10753,549,12709,2,95,2,45,50,2095,2190,98386,2664922,27,473,473
